Date,Mean Temperature (°F)
2015-01-01,27.8
2015-02-01,19.9
2015-03-01,33.8
2015-04-01,49.7
2015-05-01,63.1
2015-06-01,68.4
2015-07-01,76.1
2015-08-01,76.1
2015-09-01,71.1
2015-10-01,55.8
2015-11-01,49.7
2015-12-01,47.2
2016-01-01,33.2
2016-02-01,34.8
2016-03-01,44.7
2016-04-01,49.4
2016-05-01,60.3
2016-06-01,70.4
2016-07-01,77.5
2016-08-01,78.4
2016-09-01,70.6
2016-10-01,58.3
2016-11-01,48.5
2016-12-01,37.8
2017-01-01,36.9
2017-02-01,38.4
2017-03-01,37.4
2017-04-01,54
2017-05-01,59.6
2017-06-01,71
2017-07-01,75.2
2017-08-01,72.9
2017-09-01,69.1
2017-10-01,62.3
2017-11-01,44.9
2017-12-01,33.4
2018-01-01,28.6
2018-02-01,38
2018-03-01,39.3
2018-04-01,45.9
2018-05-01,62.6
2018-06-01,68.8
2018-07-01,76.1
2018-08-01,77.9
2018-09-01,69.5
2018-10-01,56.5
2018-11-01,43.6
2018-12-01,37.7
2019-01-01,31.2
2019-02-01,33.8
2019-03-01,38.2
2019-04-01,51.2
2019-05-01,59.4
2019-06-01,69.4
2019-07-01,78.3
2019-08-01,74.4
2019-09-01,67.9
2019-10-01,58.2
2019-11-01,42.1
2019-12-01,36.1
2020-01-01,36.7
2020-02-01,37.6
2020-03-01,44.8
2020-04-01,47.9
2020-05-01,58.2
2020-06-01,71
2020-07-01,78.7
2020-08-01,76.3
2020-09-01,68.1
2020-10-01,57.5
2020-11-01,49.4
2020-12-01,37.3
2021-01-01,33.2
2021-02-01,32.4
2021-03-01,42
2021-04-01,50.7
2021-05-01,60.4
2021-06-01,71.5
2021-07-01,74.8
2021-08-01,76.4
2021-09-01,69.8
2021-10-01,61.1
2021-11-01,44.3
2021-12-01,40.4
