County,Charger Count
New York,357
Albany,331
Erie,212
Monroe,179
Suffolk,178
Saratoga,146
Westchester,122
Kings,108
Onondaga,100
Queens,98
Ulster,95
Warren,91
Schenectady,87
Nassau,81
Dutchess,64
Rensselaer,63
Oneida,55
Essex,50
Orange,40
Broome,39
Tompkins,36
Rockland,35
Columbia,31
Clinton,31
Chautauqua,29
Franklin,27
Richmond,24
Madison,24
St. Lawrence,23
Ontario,21
Montgomery,19
Wayne,18
Bronx,18
Sullivan,15
Steuben,15
Niagara,15
Genesee,15
Greene,13
Livingston,13
Otsego,13
Chemung,12
Jefferson,11
Cattaraugus,11
Fulton,10
Herkimer,10
Cayuga,10
Oswego,8
Schuyler,8
Delaware,8
Washington,7
Hamilton,7
Allegany,7
Cortland,7
Seneca,6
Wyoming,5
Yates,4
Putnam,4
Orleans,4
Lewis,3
Tioga,3
Chenango,3
Schoharie,2
Campbell,1
