ZIP,Population,Proportion of Population,Energy Surplus per ZIP Code,EVs Supported by Surplus
11212,84500.0,0.024960764337005174,50874812.782583974,8479135.463763995
11766,12635.0,0.0037322989041190576,7607139.165774538,1267856.5276290898
11705,8030.0,0.002372011096167474,4834612.386321293,805768.7310535489
11732,3430.0,0.001013200256519855,2065095.9508196807,344182.65846994676
13365,8906.0,0.0026307759430221076,5362024.646647253,893670.7744412088
13473,766.0,0.00022627154416740786,461184.6933900512,76864.11556500853
11967,26583.0,0.007852449684859273,16004794.65324769,2667465.775541282
13077,6735.0,0.00198947630544059,4054933.302848557,675822.2171414262
10301,39706.0,0.011728900695445296,23905743.388701532,3984290.5647835885
12522,5172.0,0.0015277760136211925,3113899.783568335,518983.2972613892
11569,1398.0,0.000412960337788559,841692.1688763597,140282.02814605995
13080,3631.0,0.00107257438233924,2186111.777675295,364351.96294588246
12545,4763.0,0.0014069600063568715,2867653.648324822,477942.27472080366
14487,6025.0,0.001779746806277588,3627464.4617167865,604577.4102861311
13320,2018.0,0.0005961044074801946,1214974.818878751,202495.8031464585
10466,67813.0,0.02003153031935304,40828090.87840671,6804681.813067785
14606,28255.0,0.008346347885705103,17011453.670673493,2835242.2784455824
13203,16029.0,0.004734864988850366,9650560.640142469,1608426.7733570782
12526,3686.0,0.001088821033682853,2219225.561143249,369870.92685720813
12771,14511.0,0.004286457411766652,8736620.216426935,1456103.3694044892
11933,6844.0,0.0020216742144670225,4120558.8009941382,686759.8001656897
12548,1494.0,0.0004413181292246832,899490.7727476978,149915.12879128297
12547,2891.0,0.0008539830733524492,1740580.872833731,290096.81213895517
11934,7263.0,0.0021454441583392734,4372825.624140916,728804.2706901528
13827,11759.0,0.0034735340572644244,7079726.90544858,1179954.48424143
14136,5033.0,0.001486716294770971,3030212.2217129604,505035.3702854934
14220,24227.0,0.007156502220031058,14586320.583238604,2431053.4305397673
14006,9858.0,0.002911990708097006,5935194.135038022,989199.022506337
13322,1076.0,0.00031784357901322566,647826.0183912468,107971.0030652078
14206,20751.0,0.006129713855114727,12493529.468063906,2082254.9113439843
10707,10097.0,0.0029825897930265237,6079088.57592604,1013181.4293210068
13367,8830.0,0.0026083260248018427,5316267.418582444,886044.5697637406
12451,1674.0,0.0004944889881674161,1007863.1550064565,167977.1925010761
14139,2125.0,0.0006277115291850414,1279396.1794436797,213232.69657394662
12422,339.0,0.00010013845100881367,204101.31992066235,34016.886653443726
13368,1118.0,0.00033025011276653003,673112.9075849573,112185.48459749289
14837,5648.0,0.0016683833961586418,3400484.527763719,566747.4212939532
10803,12435.0,0.003673220171960466,7486725.407709251,1247787.5679515419
10030,26999.0,0.007975333447749144,16255255.270023488,2709209.2116705813
