city_id,ID,Station Name,City,ZIP,County,latitude,longitude,population_density,median_home_value,occupied_housing_units,median_household_income
0,49941,Town of Penfield - Library,Penfield,14526,Monroe County,43.1396,-77.456,1184.0,169000.0,8012.0,77386.0
1,116756,Village of Webster,Webster,14580,Monroe County,43.2196,-77.4616,1188.0,179100.0,20116.0,69189.0
2,149787,HOTSARA CHARGER STATION 1,Saranac Lake,12983,Franklin County,44.3243,-74.133,36.0,162400.0,3524.0,47329.0
3,157942,Houghton College,Houghton,14744,Allegany County,42.4228,-78.2063,120.0,105500.0,378.0,50298.0
4,182295,NYC FLEET DPRMBLOT8_1_L3,Midland Beach,10305,Richmond County,40.5973,-74.0768,9819.0,415300.0,15145.0,70758.0
5,183763,CHEEKTOWAGA BROADWAY #1,Cheektowaga,14227,Erie County,42.8853,-78.7462,2712.0,113500.0,10654.0,49821.0
6,220960,BRT STATION 1,Sunset Park,11220,Kings County,40.6412,-74.0133,55603.0,615300.0,29018.0,37580.0
7,223263,Sharon Chevrolet,Liverpool,13090,Onondaga County,43.1528,-76.2235,2001.0,146600.0,11880.0,70376.0
8,224589,WW BMW WWBMW 2,Nanuet,10954,Rockland County,41.0977,-74.0109,3349.0,421400.0,8444.0,91302.0
9,229400,CORNELL STATION3,Ithaca,14853,Tompkins County,42.4474,-76.4837,,,,
10,231033,New Hyde Park - 2298 Jericho Turnpike,New Hyde Park,11040,Nassau County,40.7294,-73.6828,8526.0,536900.0,13500.0,101434.0
11,194027,NYSERDA,Albany,12205,Albany County,42.7198,-73.8207,1708.0,193800.0,11663.0,65090.0
12,115245,White Fences Inn Water Mill - Tesla Destination,Water Mill,11976,Suffolk County,40.9209,-72.3491,128.0,1000001.0,658.0,160536.0
13,44206,Poughkeepsie Nissan,Wappingers Falls,12590,Dutchess County,41.595,-73.8876,1019.0,300400.0,13176.0,78573.0
14,195668,1235 Linden Blvd,Brooklyn,11212,Kings County,40.6625,-73.9145,54944.0,391700.0,30201.0,28348.0
15,229076,Village Dodge Inc,Hudson,12534,Columbia County,42.247,-73.7552,205.0,173700.0,7429.0,46261.0
16,164154,SAVARINO COMPAN BRL 5,Buffalo,14204,Erie County,42.884,-78.8597,4839.0,61000.0,4117.0,23259.0
17,175753,EXECUTIVE PARK #2,Montebello,10901,Rockland County,41.1177,-74.1241,1304.0,416100.0,8873.0,85147.0
18,154778,HGI TROY HILTON TROY 1.1,Troy,12180,Rensselaer County,42.7287,-73.6683,977.0,171900.0,21558.0,47640.0
19,225676,92746 CHARGEPOINT 1,New York,10065,New York County,40.7651,-73.9638,83533.0,1000001.0,18544.0,115519.0
20,223120,Greymoor Way - Building 2,Baldwinsville,13027,Onondaga County,43.162,-76.3237,465.0,149100.0,13042.0,67225.0
21,174457,RRH CARTER 2FLGW1,Rochester,14621,Monroe County,43.1834,-77.6043,8198.0,57400.0,12861.0,23735.0
22,170431,"Montauk, NY - Tesla Supercharger",Montauk,11954,Suffolk County,41.0459,-71.944,180.0,807400.0,1422.0,68528.0
23,213092,CMH STATION 1,Hudson,12534,Columbia County,42.247,-73.7552,205.0,173700.0,7429.0,46261.0
24,143298,LIVEWIRE DCFAST HOG OUT,Bellmore,11710,Nassau County,40.6729,-73.5365,7060.0,443400.0,11787.0,103686.0
25,164452,FOODBANK LATHAM PARKING TWO,Latham,12110,Albany County,42.7462,-73.763,1492.0,231300.0,7672.0,76408.0
26,180158,RIVERHEAD RIVER 2 #3,Riverhead,11901,Suffolk County,40.9262,-72.652,493.0,322000.0,9677.0,51350.0
27,191437,PEAK POINT APT PEAK POINT EV1,Ballston Spa,12020,Saratoga County,43.005,-73.8486,415.0,209000.0,12295.0,68252.0
