,ID,Station Name,City,State,ZIP,County,latitude_station,longitude_station
4,182295,NYC FLEET DPRMBLOT8_1_L3,Midland Beach,NY,10305,Richmond,40.5973,-74.0768
6,220960,BRT STATION 1,Sunset Park,NY,11220,Kings,40.6412,-74.0133
14,195668,1235 Linden Blvd,Brooklyn,NY,11212,Kings,40.6625,-73.9145
19,225676,92746 CHARGEPOINT 1,New York,NY,10065,New York,40.7651,-73.9638
40,201870,Central Parking - 109 E 58th Street,New York,NY,10022,New York,40.7571,-73.9657
48,169060,Rapidpark 205 W 101st Street - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
49,189547,Kew Garage,Kew Gardens,NY,11415,Queens,40.7069,-73.8297
52,181661,HAMPTON INN STATION 4,Staten Island,NY,10314,Richmond,40.6039,-74.1472
53,189362,Duford Studios,New York,NY,10028,New York,40.7763,-73.9529
55,115074,Parkit 27 N Moore Street - Tesla Destination,New York,NY,10013,New York,40.7185,-74.0025
61,207731,1 WATERLINE STATION#2,New York,NY,10069,New York,40.778,-73.9884
65,150533,528 W 162nd Garage-PARK-it - Tesla Destination,Manhattan,NY,10033,New York,40.8496,-73.9356
78,115113,iPark NYU 377 E 33rd Street - Tesla Destination,New York,NY,10016,New York,40.7443,-73.9781
85,115062,Icon Parking 237 West Thames - Tesla Destination,New York,NY,10280,New York,40.7105,-74.0163
86,221322,Prestige Parking Corp,New York,NY,10022,New York,40.7571,-73.9657
88,220701,Empire Outlets Garage,Staten Island,NY,10301,Richmond,40.6316,-74.0927
93,115151,iPark 530 E 80th Street - Tesla Destination,New York,NY,10075,New York,40.7143,-74.006
106,115076,Standard Parking 270 Greenwich - Tesla Destination,New York,NY,10007,New York,40.7139,-74.007
108,197855,597 Clarkson Ave,Brooklyn,NY,11203,Kings,40.6505,-73.9349
114,115001,iPark 112 E 65th Street - Tesla Destination,New York,NY,10065,New York,40.7651,-73.9638
117,115118,City Parking RL Mercer Street - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
119,202164,484 43rd St,Brooklyn,NY,11232,Kings,40.6521,-74.0018
120,217408,35-58 72nd St,Jackson Heights,NY,11372,Queens,40.7513,-73.883
