Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Town of Penfield - Library,1985 Baird Rd,,Penfield,NY,14526,,585-340-8720,E,,Public,6am-9pm daily,,,1,,,Non-Networked,,200-9,43.137476,-77.465214,06/07/2021,49941,2022-02-10 19:42:29,LG,,,04/01/2012,J1772
ELEC,Village of Webster,28 West Main Street,,Webster,NY,14580,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,43.211386,-77.431663,11/10/2022,116756,2022-11-10 02:00:34,,,,08/31/2018,J1772
ELEC,HOTSARA CHARGER STATION 1,100 Main St,,Saranac Lake,NY,12983,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.326862,-74.130150,11/10/2022,149787,2022-11-10 00:57:46,,,,12/07/2019,J1772
ELEC,Houghton College,9736 Rt 19,,Houghton,NY,14744,,866-816-7584,E,,Public,,,,2,,,EV Connect,http://evconnect.com/,GPS,42.423869,-78.154428,11/10/2022,157942,2022-11-10 02:00:45,,,,05/15/2020,J1772
ELEC,NYC FLEET DPRMBLOT8_1_L3,920 Father Capodanno Blvd,,Midland Beach,NY,10305,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.572636,-74.086140,11/10/2022,182295,2022-11-10 01:05:12,,,,01/27/2021,CHADEMO J1772COMBO
ELEC,CHEEKTOWAGA BROADWAY #1,3301 Broadway,,Cheektowaga,NY,14227,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.902630,-78.753078,11/10/2022,183763,2022-11-10 01:07:09,,,,02/04/2021,J1772
ELEC,BRT STATION 1,6401 6th Ave,,Sunset Park,NY,11220,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.635570,-74.016280,11/10/2022,220960,2022-11-10 01:15:33,,,,06/08/2022,J1772
ELEC,Sharon Chevrolet,3687 NY-31,,Liverpool,NY,13090,,844-623-1001,E,,Public,24 hours daily,A CREDIT D M V,,7,,,LIVINGSTON,https://www.solution.energy,GPS,43.182180,-76.256990,07/12/2022,223263,2022-07-12 20:31:42,P,,,02/09/2022,J1772
ELEC,WW BMW WWBMW 2,125 NY-59,,Nanuet,NY,10954,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.107337,-74.037243,11/10/2022,224589,2022-11-10 00:55:49,,,,07/29/2022,J1772
ELEC,CORNELL STATION3,176 Hoy Rd,,Ithaca,NY,14853,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.443450,-76.479460,11/10/2022,229400,2022-11-10 00:56:53,,,,09/28/2022,J1772
