,Date,Mean Temperature (°F),Year_
0,2015-01-01,27.8,2015
1,2015-02-01,19.9,2015
2,2015-03-01,33.8,2015
3,2015-04-01,49.7,2015
4,2015-05-01,63.1,2015
5,2015-06-01,68.4,2015
6,2015-07-01,76.1,2015
7,2015-08-01,76.1,2015
8,2015-09-01,71.1,2015
9,2015-10-01,55.8,2015
10,2015-11-01,49.7,2015
11,2015-12-01,47.2,2015
12,2016-01-01,33.2,2016
13,2016-02-01,34.8,2016
14,2016-03-01,44.7,2016
15,2016-04-01,49.4,2016
16,2016-05-01,60.3,2016
17,2016-06-01,70.4,2016
18,2016-07-01,77.5,2016
19,2016-08-01,78.4,2016
20,2016-09-01,70.6,2016
21,2016-10-01,58.3,2016
22,2016-11-01,48.5,2016
23,2016-12-01,37.8,2016
24,2017-01-01,36.9,2017
25,2017-02-01,38.4,2017
26,2017-03-01,37.4,2017
27,2017-04-01,54.0,2017
28,2017-05-01,59.6,2017
29,2017-06-01,71.0,2017
30,2017-07-01,75.2,2017
31,2017-08-01,72.9,2017
32,2017-09-01,69.1,2017
33,2017-10-01,62.3,2017
34,2017-11-01,44.9,2017
35,2017-12-01,33.4,2017
36,2018-01-01,28.6,2018
37,2018-02-01,38.0,2018
38,2018-03-01,39.3,2018
39,2018-04-01,45.9,2018
40,2018-05-01,62.6,2018
41,2018-06-01,68.8,2018
42,2018-07-01,76.1,2018
43,2018-08-01,77.9,2018
44,2018-09-01,69.5,2018
45,2018-10-01,56.5,2018
46,2018-11-01,43.6,2018
47,2018-12-01,37.7,2018
48,2019-01-01,31.2,2019
49,2019-02-01,33.8,2019
50,2019-03-01,38.2,2019
51,2019-04-01,51.2,2019
52,2019-05-01,59.4,2019
53,2019-06-01,69.4,2019
54,2019-07-01,78.3,2019
55,2019-08-01,74.4,2019
56,2019-09-01,67.9,2019
57,2019-10-01,58.2,2019
58,2019-11-01,42.1,2019
59,2019-12-01,36.1,2019
60,2020-01-01,36.7,2020
61,2020-02-01,37.6,2020
62,2020-03-01,44.8,2020
63,2020-04-01,47.9,2020
64,2020-05-01,58.2,2020
65,2020-06-01,71.0,2020
66,2020-07-01,78.7,2020
67,2020-08-01,76.3,2020
68,2020-09-01,68.1,2020
69,2020-10-01,57.5,2020
70,2020-11-01,49.4,2020
71,2020-12-01,37.3,2020
72,2021-01-01,33.2,2021
73,2021-02-01,32.4,2021
74,2021-03-01,42.0,2021
75,2021-04-01,50.7,2021
76,2021-05-01,60.4,2021
77,2021-06-01,71.5,2021
78,2021-07-01,74.8,2021
79,2021-08-01,76.4,2021
80,2021-09-01,69.8,2021
81,2021-10-01,61.1,2021
82,2021-11-01,44.3,2021
83,2021-12-01,40.4,2021
