,Reg Valid Date,City,State,Zip,County,Model Year,Make,Registration year,latitude,longitude
0,2021-12-09,BROOKLYN,NY,11211,KINGS,2014,TOYOTA,2021,40.7095,-73.9563
3,2021-08-11,STATEN ISLAND,NY,10302,RICHMOND,2019,HONDA,2021,40.6306,-74.1379
7,2021-12-15,BRONX,NY,10465,BRONX,2022,TESLA,2021,40.8261,-73.8196
10,2021-12-18,NEW YORK,NY,10025,NEW YORK,2022,TESLA,2021,40.7975,-73.9683
13,2021-12-03,NEW YORK,NY,10128,NEW YORK,2022,TESLA,2021,40.7816,-73.9511
14,2021-11-24,NEW YORK,NY,10024,NEW YORK,2022,TESLA,2021,40.7864,-73.9764
21,2021-11-18,STATEN ISLAND,NY,10309,RICHMOND,2022,TESLA,2021,40.5352,-74.2116
23,2021-11-19,BROOKLYN,NY,11205,KINGS,2022,TESLA,2021,40.6924,-73.9666
27,2021-11-22,BROOKLYN,NY,11226,KINGS,2022,TESLA,2021,40.6467,-73.957
29,2021-11-19,ASTORIA,NY,11105,QUEENS,2022,TESLA,2021,40.7763,-73.911
32,2021-12-23,STATEN ISLAND,NY,10303,RICHMOND,2022,TESLA,2021,40.6301,-74.1607
37,2021-12-04,NEW YORK,NY,10016,NEW YORK,2022,TESLA,2021,40.7443,-73.9781
38,2021-12-08,FRANKLIN SQURE,NY,11010,NEW YORK,2022,TESLA,2021,40.701,-73.6758
42,2021-11-18,ELMHURST,NY,11373,QUEENS,2022,TESLA,2021,40.7351,-73.8776
46,2021-11-19,BROOKLYN,NY,11231,KINGS,2022,TESLA,2021,40.6794,-74.0014
50,2021-11-23,BROOKLYN,NY,11229,KINGS,2022,TESLA,2021,40.6011,-73.9475
52,2021-11-17,EAST ELMHURST,NY,11369,QUEENS,2022,TESLA,2021,40.7613,-73.8739
58,2021-12-27,NEW YORK,NY,10036,NEW YORK,2022,TESLA,2021,40.7597,-73.9918
67,2021-12-02,STATEN ISLAND,NY,10314,RICHMOND,2022,TESLA,2021,40.6039,-74.1472
69,2021-11-24,NEW YORK,NY,10014,NEW YORK,2022,TESLA,2021,40.7339,-74.0054
70,2021-11-22,BROOKLYN,NY,11219,KINGS,2022,TESLA,2021,40.6336,-73.996
72,2021-11-20,REGO PARK,NY,11374,QUEENS,2022,TESLA,2021,40.7278,-73.8602
74,2021-11-20,BROOKLYN,NY,11234,KINGS,2022,TESLA,2021,40.6205,-73.9239
75,2021-11-20,NEW YORK,NY,10013,NEW YORK,2022,TESLA,2021,40.7185,-74.0025
76,2021-11-17,STATEN ISLAND,NY,10304,RICHMOND,2022,TESLA,2021,40.6102,-74.0878
85,2021-11-24,BROOKLYN,NY,11217,KINGS,2022,TESLA,2021,40.6816,-73.9798
88,2021-11-18,STATEN ISLAND,NY,10314,RICHMOND,2022,TESLA,2021,40.6039,-74.1472
93,2021-11-20,COLLEGE POINT,NY,11356,QUEENS,2022,TESLA,2021,40.7855,-73.845
94,2021-12-28,SOUTH RICHMOND,NY,11419,QUEENS,2022,TESLA,2021,40.6868,-73.823
99,2021-11-19,BROOKLYN,NY,11204,KINGS,2022,TESLA,2021,40.6179,-73.9856
101,2021-12-28,NEW YORK,NY,10007,NEW YORK,2022,TESLA,2021,40.7139,-74.007
102,2021-12-30,BROOKLYN,NY,11237,KINGS,2022,TESLA,2021,40.7006,-73.918
110,2021-12-06,GLEN OAKS,NY,11004,QUEENS,2022,TESLA,2021,40.7481,-73.7114
112,2021-12-06,NEW YORK,NY,10007,NEW YORK,2022,TESLA,2021,40.7139,-74.007
113,2021-12-01,BROOKLYN,NY,11231,KINGS,2022,TESLA,2021,40.6794,-74.0014
115,2021-11-23,SUNNYSIDE,NY,11104,QUEENS,2022,TESLA,2021,40.7436,-73.9216
117,2021-11-16,MIDDLE VILLAGE,NY,11379,QUEENS,2022,TESLA,2021,40.7173,-73.8792
122,2021-11-20,KEW GARDENS,NY,11415,QUEENS,2022,TESLA,2021,40.7069,-73.8297
127,2021-11-19,GLENDALE,NY,11385,QUEENS,2022,TESLA,2021,40.7036,-73.8961
129,2021-11-21,WHITESTONE,NY,11357,QUEENS,2022,TESLA,2021,40.7851,-73.8096
130,2021-11-20,HOLLIS,NY,11423,QUEENS,2022,TESLA,2021,40.7142,-73.7677
132,2021-11-19,BROOKLYN,NY,11212,KINGS,2022,TESLA,2021,40.6625,-73.9145
133,2021-12-26,STATEN ISLAND,NY,10312,RICHMOND,2022,TESLA,2021,40.5457,-74.1792
137,2021-12-21,FLUSHING,NY,11367,QUEENS,2022,TESLA,2021,40.728,-73.8195
138,2021-12-27,OZONE PARK,NY,11416,QUEENS,2022,TESLA,2021,40.6838,-73.8514
140,2021-12-15,NEW YORK,NY,10002,NEW YORK,2022,TESLA,2021,40.7152,-73.9877
142,2021-12-13,STATEN ISLAND,NY,10312,RICHMOND,2022,TESLA,2021,40.5457,-74.1792
145,2021-12-04,COLLEGE POINT,NY,11356,QUEENS,2022,TESLA,2021,40.7855,-73.845
146,2021-12-01,BROOKLYN,NY,11234,KINGS,2022,TESLA,2021,40.6205,-73.9239
147,2021-12-03,BROOKLYN,NY,11225,KINGS,2022,TESLA,2021,40.6628,-73.9546
156,2021-11-21,BROOKLYN,NY,11215,KINGS,2022,TESLA,2021,40.6669,-73.9828
157,2021-12-30,STATEN ISLAND,NY,10314,RICHMOND,2022,TESLA,2021,40.6039,-74.1472
158,2021-11-18,BROOKLYN,NY,11228,KINGS,2022,TESLA,2021,40.6174,-74.0121
