ZIP,Population
14526,19804
14580,50587
12983,7494
14744,2094
10305,41749
14227,23426
11220,99598
13090,30124
10954,23045
14853,
11040,40782
12205,26977
11976,1565
12590,35102
11212,84500
12534,17867
14204,8691
10901,23465
12180,53606
10065,32270
13027,31637
14621,33802
11954,3326
12534,17867
11710,34496
12110,21908
11901,27172
12020,31192
12477,18787
13441,
12144,20555
14223,22665
12983,7494
14850,63886
14616,28534
12054,16918
14744,2094
12866,36915
14731,1576
12866,36915
10022,31924
14072,20374
12065,41776
11766,12635
13326,5561
12561,18308
11705,8030
12203,29952
10025,94600
11415,19341
12204,7349
14210,14694
10314,85510
10028,45141
10523,7444
10013,27700
14830,19850
12202,9628
11732,3430
12211,11303
12065,41776
10069,5199
14850,63886
14564,14487
10573,38352
10033,53926
13413,16135
12817,2274
14623,27173
12970,963
12205,26977
12065,41776
14617,22789
12569,9826
14612,34515
12211,11303
10954,23045
13365,8906
10016,54183
14210,14694
11570,26646
13473,766
11967,26583
14450,41104
14472,8598
10280,7853
10022,31924
13077,6735
10301,39706
12983,7494
14760,18775
14221,53555
12853,1770
10075,26121
12203,29952
12946,5492
11520,43341
12202,9628
13032,12790
14845,20453
14617,22789
12522,5172
14617,22789
12866,36915
14626,30041
14203,
10007,6988
12525,3311
11203,76174
14604,
13202,5438
12180,53606
14210,14694
10570,12680
10065,32270
12203,29952
11569,1398
10025,94600
14216,22431
11232,28265
11372,66636
10036,24711
12009,7164
13080,3631
12110,21908
12205,26977
12953,15836
12189,17568
12303,29857
12009,7164
12095,12606
14604,
12545,4763
12203,29952
14865,2607
10911,
12305,5716
14211,22611
14487,6025
13320,2018
10924,13120
12180,53606
10976,2258
11433,32687
12020,31192
10956,31521
14048,15072
10466,67813
11219,92221
13021,39506
14606,28255
10021,43631
12202,9628
12866,36915
12110,21908
13413,16135
14225,33385
10023,60998
14853,
13126,37205
12901,33439
11215,63488
12601,43398
14063,14870
11201,51128
13655,3512
10044,11661
14850,63886
14623,27173
13203,16029
11793,32298
12308,15335
13090,30124
12180,53606
10036,24711
12804,26540
12211,11303
13202,5438
12526,3686
12134,3516
13210,27606
10021,43631
13495,2144
10463,67970
12493,
10306,55909
11590,45768
12209,10121
11096,8344
10926,3203
10036,24711
12189,17568
10562,31796
10069,5199
10002,81410
10021,43631
10475,40931
10036,24711
12205,26977
14626,30041
14607,16223
12771,14511
13601,38158
13502,33257
12203,29952
12504,
10025,94600
11217,35881
12308,15335
12561,18308
14203,
12305,5716
11933,6844
13244,
12801,14707
12804,26540
14621,33802
14203,
14865,2607
11729,28032
12866,36915
12047,19664
12548,1494
12547,2891
12550,54447
12302,27582
10562,31796
10281,
14127,29961
12180,53606
12302,27582
12211,11303
12065,41776
10022,31924
11758,53804
12180,53606
10001,21102
12561,18308
13032,12790
14624,36296
13045,30112
10019,42870
11206,81677
12204,7349
14226,29267
12047,19664
12189,17568
10940,48418
13502,33257
12208,20702
12804,26540
12561,18308
12901,33439
12401,35040
12207,1948
13027,31637
10017,16575
12529,2859
12110,21908
12946,5492
14701,40730
13413,16135
13066,12390
12401,35040
11231,33336
12207,1948
10028,45141
11101,25484
12804,26540
10013,27700
14411,14491
11934,7263
11222,36934
12047,19664
12047,19664
13827,11759
10021,43631
12801,14707
12571,9918
14136,5033
13045,30112
13206,16443
10011,50984
10601,11376
10567,19929
11738,17638
12997,1239
10562,31796
11101,25484
12019,14740
14220,24227
12203,29952
11901,27172
11109,3523
14744,2094
10011,50984
10606,16499
13905,28026
10028,45141
12845,4842
14228,20857
11758,53804
14445,8019
12110,21908
11968,11593
12009,7164
14006,9858
10606,16499
12845,4842
11803,28127
14886,6753
12211,11303
12866,36915
14203,
12804,26540
11379,34821
13322,1076
12189,17568
12946,5492
11937,15398
11101,25484
12205,26977
12401,35040
10022,31924
12485,865
12110,21908
10591,22540
14206,20751
14202,3911
13027,31637
12065,41776
12010,28937
12302,27582
13617,11299
12065,41776
10707,10097
10960,15093
12534,17867
12302,27582
11201,51128
14210,14694
14750,4426
11790,18511
14203,
11211,90117
10065,32270
10001,21102
12054,16918
12020,31192
11219,92221
12065,41776
11793,32298
11530,27273
10028,45141
12065,41776
10012,24090
12804,26540
12205,26977
11738,17638
10471,22922
14424,27007
11371,
11710,34496
12110,21908
14850,63886
12065,41776
11755,12387
12305,5716
14502,10691
11735,32098
11377,89830
12901,33439
10801,40827
10580,17208
12561,18308
10956,31521
10901,23465
13367,8830
12561,18308
12401,35040
11901,27172
14063,14870
13812,2348
12804,26540
14456,20087
13032,12790
14623,27173
12198,7903
10002,81410
12205,26977
12451,1674
12110,21908
12065,41776
12010,28937
10538,16597
13904,9579
12804,26540
12603,42810
12304,21482
11790,18511
13323,11323
10533,7322
14830,19850
13326,5561
12866,36915
14850,63886
14424,27007
13850,22004
12946,5492
10019,42870
12207,1948
10463,67970
14450,41104
10019,42870
12210,10158
14209,7926
14139,2125
12208,20702
10708,21225
11964,1858
12936,599
10065,32270
12061,9050
14063,14870
11901,27172
12701,11324
12866,36915
12866,36915
10033,53926
12422,339
13368,1118
12189,17568
14837,5648
12309,29343
12508,19880
14214,19775
11954,3326
13165,10741
11215,63488
12866,36915
14623,27173
12205,26977
12828,9448
10803,12435
10552,19786
11201,51128
10030,26999
12528,13344
14228,20857
12801,14707
10802,
12866,36915
14424,27007
10034,38908
12801,14707
12401,35040
14502,10691
10025,94600
14615,16099
14607,16223
11101,25484
11101,25484
10017,16575
10601,11376
10023,60998
12180,53606
10069,5199
11777,8968
12110,21908
10022,31924
11963,6622
10001,21102
14623,27173
12010,28937
10028,45141
13152,7941
14092,11086
13662,16582
12054,16918
14623,27173
13066,12390
11219,92221
14905,9070
13308,3625
12110,21908
12561,18308
10507,6408
12110,21908
13850,22004
14204,8691
12801,14707
10004,3089
12477,18787
11961,12834
11101,25484
12205,26977
12047,19664
12065,41776
10801,40827
14810,12356
14760,18775
12414,10510
12180,53606
14226,29267
10708,21225
14222,14046
11530,27273
12110,21908
12211,11303
11701,27109
12081,
10001,21102
14222,14046
13027,31637
13617,11299
11201,51128
13057,14992
11947,416
10044,11661
12166,1363
12803,7567
12759,1649
12946,5492
13413,16135
12065,41776
12209,10121
12205,26977
10065,32270
12189,17568
12946,5492
14221,53555
13820,22455
10710,25120
11201,51128
10604,11250
11368,109931
13850,22004
10913,5532
12866,36915
14203,
14131,5283
14903,7567
11771,10007
14818,1745
14870,9821
12180,53606
14210,14694
11964,1858
11772,44837
12020,31192
12205,26977
12009,7164
13901,19773
10035,33969
12901,33439
10605,18126
10530,12604
10282,4783
11354,54878
12305,5716
13032,12790
10065,32270
11520,43341
11976,1565
11706,62543
12601,43398
12065,41776
13502,33257
14214,19775
14623,27173
12845,4842
12401,35040
10003,56024
12302,27582
11758,53804
12946,5492
11201,51128
13210,27606
10014,31959
12054,16918
10917,1968
10023,60998
12180,53606
12159,7896
14513,13976
12866,36915
12110,21908
12204,7349
11217,35881
12534,17867
11101,25484
11788,16821
14103,11183
12180,53606
14618,22920
14620,25141
13210,27606
14623,27173
12159,7896
12529,2859
13601,38158
12514,2938
14903,7567
14203,
10065,32270
14456,20087
10538,16597
14420,20467
12309,29343
12590,35102
12540,7802
14214,19775
13502,33257
10562,31796
10036,24711
12866,36915
12701,11324
12571,9918
14225,33385
14623,27173
11354,54878
10036,24711
13346,6735
12572,9123
11219,92221
14620,25141
12202,9628
12801,14707
12189,17568
14850,63886
13731,1162
14611,17396
10524,4421
11249,
12077,6246
11377,89830
13126,37205
12203,29952
14620,25141
14210,14694
14618,22920
12498,4851
12054,16918
10010,31834
10025,94600
12853,1770
12211,11303
12110,21908
14850,63886
12009,7164
11776,24235
11720,29189
13026,1914
12010,28937
10024,59283
12866,36915
10701,63393
12205,26977
14580,50587
14850,63886
14202,3911
12305,5716
11964,1858
14020,23306
14559,18057
14472,8598
14850,63886
10573,38352
12866,36915
11961,12834
14850,63886
11238,49262
12211,11303
12604,
11746,67094
11355,85871
14221,53555
14414,7142
11801,39553
12309,29343
14216,22431
12015,3010
12308,15335
12308,15335
13495,2144
10021,43631
11743,42230
14450,41104
14226,29267
12993,1623
10595,8195
12992,4778
12009,7164
10314,85510
14454,11073
10016,54183
10024,59283
11530,27273
12110,21908
11746,67094
14226,29267
14456,20087
12047,19664
10595,8195
11433,32687
13045,30112
10022,31924
10019,42870
10080,
14221,53555
11514,4673
13027,31637
10044,11661
12203,29952
14445,8019
12065,41776
12901,33439
12020,31192
10011,50984
14627,
12020,31192
12009,7164
14546,4695
10538,16597
11703,16415
14886,6753
12804,26540
12513,651
12205,26977
11554,38132
12110,21908
12446,5061
10280,7853
10025,94600
11231,33336
12206,16395
10028,45141
13346,6735
13030,3892
10570,12680
10965,14791
14428,8096
13850,22004
12205,26977
14502,10691
11101,25484
12561,18308
14513,13976
12309,29343
