,County,Year,Population
1,Albany County,2021,313743
2,Allegany County,2021,46106
3,Bronx County,2021,1424948
4,Broome County,2021,197240
5,Cattaraugus County,2021,76426
6,Cayuga County,2021,75880
7,Chautauqua County,2021,126807
8,Chemung County,2021,83045
9,Chenango County,2021,46537
10,Clinton County,2021,79596
11,Columbia County,2021,61778
12,Cortland County,2021,46311
13,Delaware County,2021,44378
14,Dutchess County,2021,297112
15,Erie County,2021,950683
16,Essex County,2021,37268
17,Franklin County,2021,47456
18,Fulton County,2021,53116
19,Genesee County,2021,57853
20,Greene County,2021,48499
21,Hamilton County,2021,5119
22,Herkimer County,2021,59937
23,Jefferson County,2021,116295
24,Kings County,2021,2641052
25,Lewis County,2021,26573
26,Livingston County,2021,61578
27,Madison County,2021,67658
28,Monroe County,2021,755160
29,Montgomery County,2021,49558
30,Nassau County,2021,1390907
31,New York County,2021,1576876
32,Niagara County,2021,211653
33,Oneida County,2021,230274
34,Onondaga County,2021,473236
35,Ontario County,2021,112508
36,Orange County,2021,404525
37,Orleans County,2021,40191
38,Oswego County,2021,117387
39,Otsego County,2021,58123
40,Putnam County,2021,97936
41,Queens County,2021,2331143
42,Rensselaer County,2021,160232
43,Richmond County,2021,493494
44,Rockland County,2021,339227
45,St. Lawrence County,2021,108051
46,Saratoga County,2021,237359
47,Schenectady County,2021,158089
48,Schoharie County,2021,29863
49,Schuyler County,2021,17752
50,Seneca County,2021,33688
51,Steuben County,2021,92948
52,Suffolk County,2021,1526344
53,Sullivan County,2021,79806
54,Tioga County,2021,47980
55,Tompkins County,2021,105162
56,Ulster County,2021,182951
57,Warren County,2021,65618
58,Washington County,2021,60956
59,Wayne County,2021,90923
60,Westchester County,2021,997895
61,Wyoming County,2021,40491
62,Yates County,2021,24613
64,Albany County,2020,314368
65,Allegany County,2020,46373
66,Bronx County,2020,1466438
67,Broome County,2020,198199
68,Cattaraugus County,2020,76907
69,Cayuga County,2020,76095
70,Chautauqua County,2020,127424
71,Chemung County,2020,83882
72,Chenango County,2020,47073
73,Clinton County,2020,79715
74,Columbia County,2020,61550
75,Cortland County,2020,46723
76,Delaware County,2020,44186
77,Dutchess County,2020,295742
78,Erie County,2020,953254
79,Essex County,2020,37336
80,Franklin County,2020,47527
81,Fulton County,2020,53160
82,Genesee County,2020,58258
83,Greene County,2020,47890
84,Hamilton County,2020,5078
85,Herkimer County,2020,60007
86,Jefferson County,2020,116134
87,Kings County,2020,2727393
88,Lewis County,2020,26538
89,Livingston County,2020,61699
90,Madison County,2020,67890
91,Monroe County,2020,758554
92,Montgomery County,2020,49433
93,Nassau County,2020,1393978
94,New York County,2020,1687834
95,Niagara County,2020,212252
96,Oneida County,2020,231695
97,Onondaga County,2020,475653
98,Ontario County,2020,112475
99,Orange County,2020,401322
100,Orleans County,2020,40236
101,Oswego County,2020,117351
102,Otsego County,2020,58351
103,Putnam County,2020,97660
104,Queens County,2020,2395791
105,Rensselaer County,2020,160923
106,Richmond County,2020,495522
107,Rockland County,2020,338121
108,St. Lawrence County,2020,108311
109,Saratoga County,2020,235689
110,Schenectady County,2020,157861
111,Schoharie County,2020,29720
112,Schuyler County,2020,17857
113,Seneca County,2020,33715
114,Steuben County,2020,93363
115,Suffolk County,2020,1524099
116,Sullivan County,2020,78643
117,Tioga County,2020,48355
118,Tompkins County,2020,105404
119,Ulster County,2020,181687
120,Warren County,2020,65638
121,Washington County,2020,61143
122,Wayne County,2020,91103
123,Westchester County,2020,1003245
124,Wyoming County,2020,40401
125,Yates County,2020,24709
127,Albany County,2020,314848
128,Allegany County,2020,46456
129,Bronx County,2020,1472654
130,Broome County,2020,198683
131,Cattaraugus County,2020,77042
132,Cayuga County,2020,76248
133,Chautauqua County,2020,127657
134,Chemung County,2020,84148
135,Chenango County,2020,47220
136,Clinton County,2020,79843
137,Columbia County,2020,61570
138,Cortland County,2020,46809
139,Delaware County,2020,44308
140,Dutchess County,2020,295911
141,Erie County,2020,954236
142,Essex County,2020,37381
143,Franklin County,2020,47555
144,Fulton County,2020,53324
145,Genesee County,2020,58388
146,Greene County,2020,47931
147,Hamilton County,2020,5107
148,Herkimer County,2020,60139
149,Jefferson County,2020,116721
150,Kings County,2020,2736074
151,Lewis County,2020,26582
152,Livingston County,2020,61834
153,Madison County,2020,68016
154,Monroe County,2020,759443
155,Montgomery County,2020,49532
156,Nassau County,2020,1395774
157,New York County,2020,1694251
158,Niagara County,2020,212666
159,Oneida County,2020,232125
160,Onondaga County,2020,476516
161,Ontario County,2020,112458
162,Orange County,2020,401310
163,Orleans County,2020,40343
164,Oswego County,2020,117525
165,Otsego County,2020,58524
166,Putnam County,2020,97668
167,Queens County,2020,2405464
168,Rensselaer County,2020,161130
169,Richmond County,2020,495747
170,Rockland County,2020,338329
171,St. Lawrence County,2020,108505
172,Saratoga County,2020,235509
173,Schenectady County,2020,158061
174,Schoharie County,2020,29714
175,Schuyler County,2020,17898
176,Seneca County,2020,33814
177,Steuben County,2020,93584
178,Suffolk County,2020,1525920
179,Sullivan County,2020,78624
180,Tioga County,2020,48455
181,Tompkins County,2020,105740
182,Ulster County,2020,181851
183,Warren County,2020,65737
184,Washington County,2020,61302
185,Wayne County,2020,91283
186,Westchester County,2020,1004457
187,Wyoming County,2020,40531
188,Yates County,2020,24774
190,Albany County,2019,304752
191,Allegany County,2019,45915
192,Bronx County,2019,1418187
193,Broome County,2019,190737
194,Cattaraugus County,2019,76230
195,Cayuga County,2019,76450
196,Chautauqua County,2019,126636
197,Chemung County,2019,83404
198,Chenango County,2019,47234
199,Clinton County,2019,80031
200,Columbia County,2019,59582
201,Cortland County,2019,47410
202,Delaware County,2019,44356
203,Dutchess County,2019,293934
204,Erie County,2019,918813
205,Essex County,2019,36987
206,Franklin County,2019,50102
207,Fulton County,2019,53336
208,Genesee County,2019,57414
209,Greene County,2019,47211
210,Hamilton County,2019,4438
211,Herkimer County,2019,61356
212,Jefferson County,2019,110143
213,Kings County,2019,2562329
214,Lewis County,2019,26329
215,Livingston County,2019,62893
216,Madison County,2019,70875
217,Monroe County,2019,742605
218,Montgomery County,2019,49355
219,Nassau County,2019,1356073
220,New York County,2019,1632326
221,Niagara County,2019,209563
222,Oneida County,2019,228240
223,Onondaga County,2019,460870
224,Ontario County,2019,109984
225,Orange County,2019,384950
226,Orleans County,2019,40351
227,Oswego County,2019,116934
228,Otsego County,2019,59347
229,Putnam County,2019,98511
230,Queens County,2019,2253942
231,Rensselaer County,2019,158981
232,Richmond County,2019,476141
233,Rockland County,2019,326352
234,St. Lawrence County,2019,107766
235,Saratoga County,2019,229635
236,Schenectady County,2019,155548
237,Schoharie County,2019,31052
238,Schuyler County,2019,17812
239,Seneca County,2019,34189
240,Steuben County,2019,95328
241,Suffolk County,2019,1478325
