city_id,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Brighton,GB,50.8284,-0.1395,46.56,38.41,88,88,3.0,overcast clouds
1,Huntingdon,GB,52.3305,-0.1865,41.02,34.93,94,99,7.02,overcast clouds
2,Olean,US,42.0776,-78.4297,23.68,19.74,86,100,6.91,light snow
3,Bayonne,FR,43.3333,-1.4167,51.44,48.92,93,100,5.75,light rain
4,Cheektowaga,US,42.9034,-78.7548,23.79,17.94,62,20,9.22,few clouds
5,New York,US,40.7143,-74.006,32.22,27.52,40,0,15.01,clear sky
6,Fairmount,US,43.0473,-76.2385,24.73,20.66,70,100,8.05,overcast clouds
7,Nanuet,US,41.0887,-74.0135,31.26,26.29,45,0,11.43,clear sky
8,Ithaca,US,42.4406,-76.4966,24.12,20.39,66,0,10.36,clear sky
9,New Hyde Park,US,40.7351,-73.6879,32.7,28.06,40,0,16.11,clear sky
10,Albany,US,42.6001,-73.9662,25.43,20.59,56,61,11.88,broken clouds
11,Old Saybrook,US,41.2918,-72.3762,33.98,26.96,44,0,9.22,clear sky
12,Arlington,US,32.7357,-97.1081,47.3,42.33,60,75,9.22,broken clouds
13,Kingston,JM,17.997,-76.7936,83.35,72.21,54,20,19.57,few clouds
14,Buffalo,US,42.8865,-78.8784,23.95,19.0,63,20,9.22,few clouds
15,Suffern,US,41.1148,-74.1496,31.08,25.54,46,1,11.3,clear sky
16,Troy,US,42.6056,-83.1499,24.44,16.88,70,32,5.01,scattered clouds
17,Guttenberg,US,40.792,-74.0038,31.98,27.27,40,0,15.01,clear sky
18,Rochester,US,43.1548,-77.6156,26.35,19.69,59,75,12.66,broken clouds
19,Groton,US,41.3501,-72.0784,33.69,27.01,41,0,12.66,clear sky
20,Bellmore,US,40.6687,-73.5271,33.03,29.14,40,0,8.99,clear sky
21,Watervliet,US,42.7301,-73.7012,27.75,22.14,73,100,9.22,overcast clouds
22,Mastic,US,40.802,-72.8409,32.94,29.1,43,0,14.97,clear sky
23,Saratoga Springs,US,43.0831,-73.7846,25.92,21.34,68,75,1.99,broken clouds
24,Rome,US,34.257,-85.1647,36.01,27.27,58,0,3.44,clear sky
25,Kenmore,US,47.7573,-122.244,47.41,38.52,65,75,0.0,broken clouds
26,Greece,US,43.2098,-77.6931,26.62,19.96,60,75,13.0,broken clouds
27,Tonawanda,US,42.985,-78.878,23.92,18.09,63,20,16.11,few clouds
28,Cohoes,US,42.7742,-73.7001,27.64,22.03,76,100,9.22,overcast clouds
29,Terryville,US,40.909,-73.0651,32.47,28.08,44,20,37.0,few clouds
30,Oneonta,US,42.4529,-75.0638,23.29,17.64,67,6,14.43,clear sky
31,Poughkeepsie,US,41.7004,-73.921,28.36,24.19,52,0,17.27,clear sky
32,Sayville,US,40.7359,-73.0821,32.76,29.14,44,20,20.71,few clouds
33,Edgewater,US,28.9889,-80.9023,66.22,52.03,77,75,12.66,light rain
34,Elmont,US,40.7009,-73.7129,32.86,28.2,39,0,16.11,clear sky
35,West Seneca,US,42.8501,-78.7998,23.99,18.16,62,20,9.22,few clouds
36,Hartsdale,US,41.019,-73.7982,32.25,27.1,47,0,17.27,clear sky
37,Corning,US,42.1428,-77.0547,24.84,21.92,81,100,4.61,overcast clouds
38,Syosset,US,40.8262,-73.5021,32.31,28.15,40,0,8.05,clear sky
39,Canandaigua,US,42.8742,-77.288,25.32,19.4,68,7,4.0,clear sky
40,Rye Brook,US,41.0193,-73.6835,32.52,27.41,48,0,17.27,clear sky
41,Fort Lee,US,40.8509,-73.9701,31.3,26.58,41,0,15.01,clear sky
42,Utica,US,43.1009,-75.2327,23.72,20.59,89,100,1.99,overcast clouds
43,Glens Falls,US,43.3095,-73.644,25.14,21.88,52,25,5.01,scattered clouds
44,Irondequoit,US,43.2134,-77.5797,26.8,20.61,59,75,12.66,broken clouds
45,Oceanside,US,33.1959,-117.3795,68.32,58.32,43,0,4.61,clear sky
46,Shirley,GB,52.4107,-1.8195,39.97,34.29,95,0,3.44,clear sky
47,Cortland,US,42.6001,-76.083,21.7,18.75,65,0,4.61,clear sky
48,Plattsburgh,US,44.6995,-73.4529,23.76,19.29,49,0,17.0,clear sky
49,Freeport,US,40.6576,-73.5832,33.03,29.12,40,0,16.11,clear sky
50,Oneida,US,43.2001,-75.4663,23.76,20.7,95,100,9.22,snow
51,Elmira,US,42.0898,-76.8077,25.12,20.79,76,100,4.61,overcast clouds
52,New Milford,US,40.9327,-74.0179,32.09,27.19,42,0,10.36,clear sky
53,Newburgh,US,41.5034,-74.0104,30.85,24.94,51,0,17.27,clear sky
54,Syracuse,IT,37.0881,15.2792,54.32,52.97,65,0,15.7,clear sky
55,Ossining,US,41.1629,-73.8615,31.35,26.42,49,0,17.27,clear sky
56,Weehawken,US,40.7696,-74.0204,31.91,27.21,40,0,15.01,clear sky
57,Rotterdam,NL,51.9225,4.4792,44.89,33.89,93,75,3.44,mist
58,Auburn,US,47.3073,-122.2284,47.23,38.23,67,75,1.01,broken clouds
59,Gloversville,US,43.0528,-74.3438,23.25,19.98,81,100,14.0,overcast clouds
60,Monsey,US,41.1112,-74.0685,30.34,24.78,46,1,11.39,clear sky
61,Schenectady,US,42.8334,-74.0829,23.04,18.19,81,100,16.11,overcast clouds
62,Middletown,US,39.5151,-84.3983,28.65,19.06,58,0,5.75,clear sky
63,Dobbs Ferry,US,41.0145,-73.8726,32.29,27.12,46,0,17.27,clear sky
64,New City,US,41.1476,-73.9893,31.59,25.84,49,0,11.56,clear sky
65,Dunkirk,FR,51.05,2.3667,48.2,41.05,80,97,3.0,overcast clouds
66,Eastchester,US,40.8876,-73.8329,32.95,27.81,41,0,15.01,clear sky
67,Oswego,US,43.4501,-76.1497,24.91,20.1,95,100,4.0,overcast clouds
68,Fredonia,US,42.4401,-79.3317,28.22,21.09,64,100,14.97,overcast clouds
69,Cornwall,CA,45.0181,-74.7281,18.0,13.24,53,0,12.66,clear sky
70,Wantagh,US,40.6837,-73.5101,32.95,29.08,40,0,8.99,clear sky
71,Yonkers,US,40.9312,-73.8988,32.68,27.52,42,0,10.36,clear sky
72,New Cassel,US,40.759,-73.5696,32.65,28.72,40,0,8.05,clear sky
73,Woodmere,US,40.6321,-73.7126,32.99,28.35,39,0,16.11,clear sky
74,Kiryas Joel,US,41.342,-74.1679,29.05,23.67,55,0,11.79,clear sky
75,Port Jervis,US,41.3751,-74.6927,28.18,23.36,58,3,11.99,clear sky
76,Watertown,US,42.3709,-71.1828,30.85,26.24,47,0,11.5,clear sky
77,Ridge,US,40.894,-72.8959,32.79,28.15,44,0,13.8,clear sky
78,Deer Park,US,29.7052,-95.1238,53.13,48.97,63,100,10.36,overcast clouds
79,Hamburg,DE,53.55,10.0,28.8,24.98,95,0,4.61,clear sky
80,Massapequa Park,US,40.6804,-73.4551,32.99,29.12,40,0,8.99,clear sky
81,Pittsfield,US,42.4501,-73.2454,25.0,19.22,59,40,14.97,scattered clouds
82,Jamestown,US,42.097,-79.2353,22.71,19.06,74,100,11.5,overcast clouds
83,Batavia,US,41.85,-88.3126,32.49,27.9,55,0,14.97,clear sky
84,Endicott,US,42.0984,-76.0494,25.36,19.22,72,0,12.66,clear sky
85,White Plains,US,41.034,-73.7629,32.45,27.34,48,0,17.27,clear sky
86,Peekskill,US,41.2901,-73.9204,31.03,25.7,50,0,7.0,clear sky
87,Farmingville,US,40.8312,-73.0295,32.67,28.56,44,20,20.71,few clouds
88,Binghamton,US,42.0987,-75.918,25.32,19.18,72,0,12.66,clear sky
89,North Tonawanda,US,43.0387,-78.8642,24.06,18.21,62,0,16.11,clear sky
90,Plainview,US,40.7765,-73.4673,32.52,28.36,41,0,8.05,clear sky
91,Sleepy Hollow,US,41.0857,-73.8585,32.31,26.58,48,0,17.27,clear sky
92,Amsterdam,NL,52.374,4.8897,37.87,33.87,96,75,2.3,fog
93,Potsdam,DE,52.3989,13.0657,32.09,27.14,93,100,3.02,overcast clouds
94,Mount Vernon,US,40.9126,-73.8371,32.67,27.52,42,0,15.01,clear sky
95,Stony Brook,US,40.9257,-73.1409,32.67,28.26,45,20,37.0,few clouds
96,Garden City,US,42.3256,-83.331,24.75,16.77,70,20,10.36,few clouds
97,Lake Grove,US,40.8529,-73.1151,32.61,28.51,44,20,37.0,few clouds
98,South Farmingdale,US,40.7207,-73.4401,32.86,28.99,41,0,8.05,clear sky
99,New Rochelle,US,40.9115,-73.7823,32.83,27.66,43,0,17.27,clear sky
100,Rye,US,40.9807,-73.6837,32.95,27.81,47,0,17.27,clear sky
101,Geneva,US,41.8875,-88.3054,32.34,27.95,55,0,14.97,clear sky
102,Mamaroneck,US,40.9487,-73.7326,32.95,27.81,46,0,17.27,clear sky
103,Endwell,US,42.1129,-76.021,25.09,18.95,72,0,12.66,clear sky
104,Lancaster,US,40.2504,-76.2499,28.04,22.59,57,0,8.05,clear sky
105,Shelburne,CA,44.0787,-80.2041,20.12,17.24,79,82,13.4,broken clouds
106,Beacon,US,41.5048,-73.9696,30.34,24.44,51,0,17.27,clear sky
107,Niagara Falls,CA,43.1001,-79.0663,24.73,19.78,62,0,16.11,clear sky
108,Massena,US,44.9281,-74.8919,17.87,13.1,53,0,12.66,clear sky
109,Mount Kisco,US,41.2043,-73.7271,30.81,25.48,49,0,17.27,clear sky
