City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tokmak,47.2514,35.7058,70.68,38,0,8.57,UA,2022-08-08 02:07:41
1,Mataura,-46.1927,168.8643,42.48,66,7,9.69,NZ,2022-08-08 02:07:42
2,Brae,60.3964,-1.353,55.6,95,100,13.82,GB,2022-08-08 01:58:14
3,Ushuaia,-54.8,-68.3,38.86,60,0,8.05,AR,2022-08-08 02:07:42
4,Tura,25.5198,90.2201,78.76,91,100,3.69,IN,2022-08-08 02:07:42
5,Ancud,-41.8697,-73.8203,43.23,86,5,3.4,CL,2022-08-08 02:07:43
6,Lorengau,-2.0226,147.2712,84.85,70,92,8.95,PG,2022-08-08 02:07:43
7,Rikitea,-23.1203,-134.9692,71.47,73,100,34.07,PF,2022-08-08 02:07:43
8,Jamestown,42.097,-79.2353,76.71,65,0,8.05,US,2022-08-08 02:07:44
9,Panguna,-6.3164,155.4848,78.75,72,49,1.43,PG,2022-08-08 02:07:44
10,Tiksi,71.6872,128.8694,48.63,98,100,5.86,RU,2022-08-08 02:07:44
11,Bredasdorp,-34.5322,20.0403,57.09,90,100,2.8,ZA,2022-08-08 02:07:45
12,Tual,-5.6667,132.75,80.01,81,100,20.0,ID,2022-08-08 02:03:58
13,Fershampenuaz,53.5202,59.8117,63.03,82,96,7.0,RU,2022-08-08 02:07:45
14,Tasiilaq,65.6145,-37.6368,42.96,98,100,3.27,GL,2022-08-08 02:07:45
15,Castro,-24.7911,-50.0119,57.09,94,100,6.82,BR,2022-08-08 02:07:46
16,Hobart,-42.8794,147.3294,52.27,74,20,9.22,AU,2022-08-08 02:07:46
17,Albany,42.6001,-73.9662,79.21,86,1,4.05,US,2022-08-08 02:07:46
18,Hobyo,5.3505,48.5268,74.95,83,10,24.18,SO,2022-08-08 02:03:17
19,Barrow,71.2906,-156.7887,45.41,65,96,18.03,US,2022-08-08 02:07:47
20,Tateyama,34.9833,139.8667,83.17,80,15,18.43,JP,2022-08-08 02:07:47
21,Touros,-5.1989,-35.4608,73.78,85,27,12.95,BR,2022-08-08 02:03:26
22,Zhigansk,66.7697,123.3711,56.77,73,84,14.47,RU,2022-08-08 02:07:47
23,Mazamari,-11.3258,-74.5308,67.84,98,22,2.06,PE,2022-08-08 02:02:04
24,Parabel,58.6978,81.4825,60.94,87,15,7.02,RU,2022-08-08 02:07:48
25,Carnarvon,-24.8667,113.6333,66.61,64,0,11.23,AU,2022-08-08 02:07:48
26,Richards Bay,-28.783,32.0377,67.12,87,31,11.27,ZA,2022-08-08 02:07:48
