,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),Proportion of Energy in Year
0,1990,NY,Total Electric Power Industry,Total,1353456920,1.0
1,1990,NY,Total Electric Power Industry,Coal,259130470,0.1914582327452284
2,1990,NY,Total Electric Power Industry,Hydroelectric Conventional,281882220,0.2082683355743602
3,1990,NY,Total Electric Power Industry,Natural Gas,227243350,0.1678984728970908
4,1990,NY,Total Electric Power Industry,Nuclear,236233560,0.17454087862656167
5,1990,NY,Total Electric Power Industry,Other Biomass,15689790,0.011592382268066574
6,1990,NY,Total Electric Power Industry,Other Gases,890340,0.0006578266266502224
7,1990,NY,Total Electric Power Industry,Petroleum,338848550,0.25035783924323207
8,1990,NY,Total Electric Power Industry,Pumped Storage,-10540950,-0.007788168093299933
9,1990,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4079590,0.003014200112109959
10,1991,NY,Total Electric Power Industry,Total,1346004990,1.0
11,1991,NY,Total Electric Power Industry,Coal,266599510,0.19806725233611505
12,1991,NY,Total Electric Power Industry,Hydroelectric Conventional,271721200,0.20187235710025117
13,1991,NY,Total Electric Power Industry,Natural Gas,230740270,0.17142601380697706
14,1991,NY,Total Electric Power Industry,Nuclear,284482930,0.21135354780519797
15,1991,NY,Total Electric Power Industry,Other Biomass,16603640,0.01233549661654672
16,1991,NY,Total Electric Power Industry,Other Gases,515200,0.0003827623254205023
17,1991,NY,Total Electric Power Industry,Petroleum,282205550,0.20966159271073728
18,1991,NY,Total Electric Power Industry,Pumped Storage,-10072690,-0.007483397219797826
19,1991,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,3209380,0.002384374518552119
20,1992,NY,Total Electric Power Industry,Total,1259489240,1.0
21,1992,NY,Total Electric Power Industry,Coal,272797030,0.21659337875724924
22,1992,NY,Total Electric Power Industry,Hydroelectric Conventional,280566470,0.22276210156428172
23,1992,NY,Total Electric Power Industry,Natural Gas,268496970,0.21317924875642447
24,1992,NY,Total Electric Power Industry,Nuclear,241549320,0.19178355187853768
25,1992,NY,Total Electric Power Industry,Other Biomass,17384850,0.013803095292818857
26,1992,NY,Total Electric Power Industry,Other Gases,919850,0.0007303357351429219
27,1992,NY,Total Electric Power Industry,Petroleum,183192580,0.14544989681690335
28,1992,NY,Total Electric Power Industry,Pumped Storage,-10316450,-0.008190979067038319
29,1992,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4898620,0.0038893702656800783
30,1993,NY,Total Electric Power Industry,Total,1242210310,1.0
31,1993,NY,Total Electric Power Industry,Coal,245019660,0.19724490935838393
32,1993,NY,Total Electric Power Industry,Hydroelectric Conventional,294432960,0.23702343929185388
33,1993,NY,Total Electric Power Industry,Natural Gas,270752670,0.2179604112285946
34,1993,NY,Total Electric Power Industry,Nuclear,268892610,0.21646303193216937
35,1993,NY,Total Electric Power Industry,Other Biomass,17249630,0.013886239601408557
36,1993,NY,Total Electric Power Industry,Other Gases,909800,0.0007324041610957166
37,1993,NY,Total Electric Power Industry,Petroleum,150729650,0.12133988004011978
38,1993,NY,Total Electric Power Industry,Pumped Storage,-11357020,-0.00914259035573453
39,1993,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,5580350,0.004492274742108685
40,1994,NY,Total Electric Power Industry,Total,1260295720,1.0
41,1994,NY,Total Electric Power Industry,Coal,232906560,0.18480310319549448
42,1994,NY,Total Electric Power Industry,Hydroelectric Conventional,277912570,0.22051377751247145
43,1994,NY,Total Electric Power Industry,Natural Gas,322299290,0.2557330671566511
44,1994,NY,Total Electric Power Industry,Nuclear,292314340,0.23194107173513212
45,1994,NY,Total Electric Power Industry,Other Biomass,19040680,0.015108104945401227
46,1994,NY,Total Electric Power Industry,Other Gases,942060,0.0007474912316610898
47,1994,NY,Total Electric Power Industry,Petroleum,120303780,0.0954567869198191
48,1994,NY,Total Electric Power Industry,Pumped Storage,-11458440,-0.00909186615344532
