YEAR,Residential,Commercial,Industrial,Transportation,Total
2000,125047564.2,117544944.8,41264406.68,106291015.7,390147931.5
2001,126008837.3,118447603.7,41583854.15,107105753.3,393146048.5
2002,132673273.5,124713463.2,43781887.17,112773747.8,413942371.6
2003,133789874.2,125762657.6,44151156.72,113720367.4,417424056
2004,135483825,127356964.3,44710922.47,115162277,422713988.8
2005,142535115,133983301.2,47037906.76,121155580.4,444711903.3
2006,141729169.5,133224247.1,46771212.09,120469794.1,442194422.8
2007,145999215,137239320.7,48180883.94,124098014,455517433.7
2008,144782970.1,136096343.6,47779376.57,123066403.8,451725094
2009,143115395.7,134528413.3,47228402.96,121647939.8,446520151.8
2010,151605664.6,142508738.6,50030162.39,128863349.6,473007915.1
2011,149202481.8,140252091.3,49235939.79,126823574.9,465514087.9
2012,144141144.4,135492617.2,47565434.69,122518360.9,449717557.2
2013,146268840.4,137491361.9,48268805.26,124326609.4,456355616.9
2014,147567145.3,138713468.2,48696689.02,125431487.3,460408789.8
2015,147241836.4,138408674.3,48591183.43,125156000.5,459397694.6
2016,147971583.3,139094460.6,48831501.71,125777311.2,461674856.8
2017,144571958.9,135899985.9,47709039.51,122887630.4,451068614.8
2018,154058669.5,144815207.9,50839038.54,130950015.6,480662931.5
2019,151037106.7,141975349.2,49842596.9,128382713,471237765.9
2020,153586825,144372670.6,50683710.88,130548508.2,479191714.7
2021,154841169.2,145550816.3,51096941.08,131615286.9,483104213.5
